watershed_group_code,ch_n,ch90_n,ch_latest,co_n,co90_n,co_latest,sk_n,sk90_n,sk_latest,st_n,st90_n,st_latest,ch_range,co_range,sk_range,st_range,obs_gt5_ind,mackenzie_ind,barrier_ind
UMUS,0,0,,0,0,,0,0,,0,0,,,,,,,t,
UNAR,18,6,1994-01-01,9,1,1994-01-01,16,0,1980-01-01,43,13,2000-01-01,{Core},{Core},{Core},{Core},t,,
UNRS,0,0,,1,1,2003-10-15,0,0,,0,0,,{Core},{Core},{Core},{Core},,,
UNTH,60,47,2015-10-15,190,157,2017-11-10,9,2,1997-09-01,0,0,,{Core},{Core},{Core},{Core},t,,
UNUR,8,2,1995-09-01,37,13,2018-09-13,24,2,1995-09-01,1,0,1989-09-01,{Core},{Core},{Core},{Core},t,,
UOMI,0,0,,0,0,,0,0,,0,0,,,,,,,t,Site C Dam
UPCE,0,0,,0,0,,0,0,,0,0,,,,,,,t,
UPET,0,0,,0,0,,0,0,,0,0,,,,,,,t,
UPRO,0,0,,0,0,,0,0,,0,0,,,,,,,t,
USHU,84,65,2001-10-19,128,103,2018-08-28,29,25,2001-03-01,3,0,,{Core},{Core},{Core},{Core},t,,
USIK,0,0,,0,0,,0,0,,0,0,,,,,,,t,
USKE,8,1,1996-01-01,30,0,1984-01-01,17,0,1987-01-01,30,3,1997-01-01,{Core},{Core},{Core},{Core},t,,Falls 16378
USTK,1,0,1979-01-01,3,0,1985-01-01,2,1,1998-04-01,29,11,2000-01-01,,,,,t,,
UTRE,1,0,1980-01-01,0,0,,20,7,2000-12-01,0,0,,{Core},{Core},{Core},{Core},t,,
VICT,3,0,1986-01-01,126,92,2019-08-15,0,0,,82,25,2002-10-09,{Core},{Core},{Core},{Core},t,,
WILL,65,15,2010-10-26,1,1,1995-03-01,0,0,,0,0,,{Core},{Core},{Core},{Core},t,,
WORC,50,18,2018-08-14,216,122,2018-08-15,22,4,2002-03-01,49,13,2016-10-20,{Core},{Core},{Core},{Core},t,,
ZYMO,24,14,2018-06-07,114,68,2018-06-07,27,3,1998-06-01,82,23,2001-03-01,{Core},{Core},{Core},{Core},t,,
