watershed_group_code,length_km_total,length_km_accessible15,length_km_accessible15_structureless,length_km_accessible20,length_km_accessible20_structureless,length_km_accessible30,length_km_accessible30_structureless,stream_km_accessible15,stream_km_accessible15_structureless,stream_km_accessible20,stream_km_accessible20_structureless,stream_km_accessible30,stream_km_accessible30_structureless,lake_reservoir_area_ha_total,lake_reservoir_area_ha_accessible15,lake_reservoir_area_ha_accessible15_structureless,lake_reservoir_area_ha_accessible20,lake_reservoir_area_ha_accessible20_structureless,lake_reservoir_area_ha_accessible30,lake_reservoir_area_ha_accessible30_structureless,wetland_area_ha_total,wetland_area_ha_accessible15,wetland_area_ha_accessible15_structureless,wetland_area_ha_accessible20,wetland_area_ha_accessible20_structureless,wetland_area_ha_accessible30,wetland_area_ha_accessible30_structureless,n_pscis_all,n_pscis_gt2010,n_pscis_gt2010_accessible_15,n_pscis_gt2010_accessible_20,n_pscis_gt2010_accessible_30,n_modelled_culverts_total,n_modelled_culverts_accessible15,n_modelled_culverts_accessible20,n_modelled_culverts_accessible30
LTRE,3078.9,2707.4,972.7,2883.7,988.6,3017.0,1004.2,1669.4,475.6,1830.5,490.4,1956.3,503.6,11246.5,10973.1,9408.1,11129.6,9408.1,11165.2,9411.9,12363.4,11868.8,6363.0,11925.2,6370.0,11959.6,6384.6,129,125,125,129,129,1312,1104,1218,1288
MAHD,6394.3,121.9,113.5,141.4,124.5,3787.3,897.6,95.0,86.6,111.8,94.8,2799.6,544.0,19111.8,3301.5,3301.5,3329.7,3329.7,17683.3,12519.1,6528.9,9.4,9.4,9.4,9.4,4075.3,830.6,50,8,0,0,47,3657,12,19,2362
MBNK,1307.0,879.9,861.0,966.5,946.5,1081.5,1059.5,491.6,480.1,561.3,548.7,661.6,647.1,3186.3,2757.4,2711.6,2828.8,2782.7,2903.4,2857.3,228.3,184.7,184.7,191.3,191.3,192.8,192.8,,,,,,28,17,17,19
MCGR,7421.2,2770.9,1632.9,3233.3,1804.9,4276.9,2338.0,2438.7,1473.2,2880.6,1641.5,3879.3,2146.8,2161.8,1124.7,759.4,1194.8,763.0,1477.7,969.6,5367.2,3945.4,2534.5,4026.3,2543.2,4196.0,2652.9,726,661,431,540,658,2610,1293,1626,2135
MESC,5747.0,648.0,636.1,923.3,905.3,2161.7,2117.1,593.5,584.5,852.6,837.4,1949.4,1908.8,1038.1,304.9,304.4,426.8,426.4,767.5,764.4,4315.6,1898.1,1867.2,2032.5,2001.6,3269.9,3231.5,,,,,,134,15,26,58
MFRA,2540.2,226.0,101.1,414.1,149.0,1071.9,247.4,197.4,106.3,350.2,151.9,907.6,248.7,4358.3,275.4,,501.6,0.5,1027.3,0.5,3317.3,184.4,,558.9,,1423.5,,,,,,,1578,143,256,726
MIDR,3517.7,2294.1,1097.8,2634.6,1182.3,3026.1,1304.8,1605.5,648.2,1925.5,730.6,2300.3,847.4,12586.8,12278.7,9807.9,12386.7,9809.8,12467.1,9835.7,3876.0,3215.8,1744.5,3325.4,1755.5,3407.9,1796.0,165,164,138,145,149,1237,797,977,1114
MORI,8285.6,1824.9,1185.6,2452.8,1622.4,3395.3,2270.3,1664.2,1068.4,2257.2,1470.9,3172.8,2094.6,4910.3,2667.7,1762.0,3178.2,2271.6,3505.2,2571.4,542.7,360.8,248.3,410.7,293.8,447.3,313.4,172,27,100,118,152,2267,654,893,1329
MORK,17887.9,5259.5,2285.0,6454.7,2791.8,8295.6,3258.6,4838.3,2186.1,5943.5,2640.1,7730.2,3098.9,2998.8,1939.5,1001.0,2083.4,1015.3,2188.9,1035.8,10858.3,8364.3,4848.2,8748.6,4939.5,9147.1,4966.0,50,37,47,50,50,5800,2969,3544,4399
MORR,9033.1,3552.7,2571.4,4382.9,3029.5,5760.4,3931.0,2557.0,1757.5,3322.2,2182.8,4609.0,3033.7,18852.1,17886.4,16186.9,18128.6,16284.9,18483.2,16519.9,9350.1,7226.1,5425.1,7578.7,5555.3,7995.3,5699.2,4,4,2,3,3,1632,947,1226,1476
MSKE,10990.4,1515.0,1453.5,1993.9,1876.5,3431.0,3189.7,1410.7,1356.5,1862.9,1755.7,3192.9,2964.7,1872.8,814.4,803.5,855.7,839.0,1256.7,1234.1,2747.9,1289.4,1243.8,1466.9,1409.3,1884.8,1811.0,12,3,0,0,3,410,33,50,113
MSTR,14103.1,3624.7,2750.9,5097.1,3786.6,8126.9,6125.8,3271.4,2522.5,4648.1,3497.6,7465.2,5664.0,3943.4,2118.6,1182.5,2414.8,1329.9,3054.2,1781.5,9574.0,3333.6,2346.7,4155.0,3009.6,5925.5,4562.6,,,,,,549,181,292,440
MURT,5260.4,120.6,120.6,123.9,123.9,237.8,237.8,148.7,148.7,151.3,151.3,237.1,237.1,15449.9,3169.5,3169.5,3173.4,3173.4,3173.9,3173.9,4128.7,94.9,94.9,94.9,94.9,168.8,168.8,,,,,,24,0,0,0
MUSK,2048.3,1948.4,,2018.9,,2038.2,,1320.0,37.3,1389.2,37.3,1408.2,37.3,4397.9,4352.1,,4352.1,,4352.1,,4972.4,4501.9,,4511.4,,4514.3,,3,0,3,3,3,1265,1168,1244,1263
NAHR,7957.6,4332.3,4332.3,5313.5,5313.5,6557.9,6557.9,3343.8,3343.8,4234.9,4234.9,5279.3,5279.3,7607.9,5411.1,5411.1,5700.0,5700.0,6777.5,6777.5,18713.4,9775.6,9775.6,10539.6,10539.6,13131.0,13131.0,,,,,,,,,
NAKR,9701.7,2053.4,2051.2,2727.0,2705.6,4314.0,4279.2,1659.8,1657.7,2289.0,2268.6,3735.2,3703.0,4570.6,2310.9,2310.9,2416.0,2415.4,2973.8,2971.7,5167.1,3410.3,3410.3,3681.4,3676.4,4309.1,4292.7,,,,,,34,7,11,15
NARC,5764.4,1311.5,255.5,1580.6,272.5,2166.5,298.6,1089.1,252.3,1337.7,267.5,1869.1,293.0,4798.3,1054.3,9.6,1097.3,15.6,1215.0,16.6,13438.1,2265.3,41.6,2421.1,51.5,2820.4,55.9,10,1,2,4,4,4168,934,1255,1922
NASC,10302.9,955.9,753.7,1731.0,1440.8,2784.9,2162.2,815.7,702.3,1199.2,1022.3,2063.8,1683.1,16578.1,3561.3,1861.8,9024.1,6742.0,12391.9,7387.2,849.7,247.0,172.1,477.8,395.4,569.9,475.1,,,,,,984,63,138,373
NASR,6661.6,1588.1,894.9,2172.2,1119.5,3273.3,1661.0,1171.1,693.1,1634.1,875.2,2554.2,1336.9,6436.0,3123.6,1894.0,3897.6,2107.9,4885.8,2587.9,4172.8,2090.7,766.8,2373.4,898.7,3043.2,1106.9,42,11,8,23,25,1221,267,445,691
NAZR,6092.9,2681.1,776.2,4137.1,1158.7,4695.2,1276.9,1833.7,519.2,2797.8,728.8,3228.2,829.0,6071.3,2240.6,381.0,3774.6,1196.3,4095.6,1222.2,22855.0,10367.1,4010.2,15652.2,5699.5,16855.2,5844.7,14,9,6,10,10,2521,1077,1651,1924
NBNK,567.9,371.9,371.9,428.1,428.1,465.0,465.0,217.0,217.0,257.3,257.3,288.9,288.9,1418.6,848.0,848.0,944.1,944.1,971.1,971.1,312.2,216.4,216.4,232.9,232.9,232.9,232.9,,,,,,,,,
NECL,7403.0,1405.5,1367.9,1930.0,1854.8,2815.8,2601.0,984.3,952.2,1402.4,1335.2,2170.0,1967.4,8265.6,5144.7,5108.9,6020.3,5957.2,6599.1,6526.8,231.1,111.7,110.0,126.6,124.9,168.4,153.6,,,,,,505,40,81,226
NECR,8049.8,6348.2,1205.0,7333.3,1471.2,7685.1,1538.8,4939.4,879.3,5706.1,1057.0,6033.2,1117.7,11665.3,10248.9,6697.5,11073.3,6997.9,11112.2,7015.8,16291.8,12868.0,2616.0,14952.9,3497.6,15107.8,3545.3,39,7,30,37,38,5890,4822,5463,5743
NEVI,2814.7,1308.1,641.8,1679.0,771.0,2295.6,1017.9,1104.9,533.7,1434.9,650.6,1995.0,876.3,2180.9,1690.1,932.7,1854.6,966.7,2049.9,1031.0,1513.7,887.6,412.5,1030.1,482.7,1256.2,566.6,83,83,48,64,80,1061,454,610,818
NICL,4398.2,1617.5,203.3,2494.7,229.2,3675.4,252.6,1346.2,178.5,2088.5,204.1,3078.8,227.1,5410.7,2161.2,660.2,3589.2,660.2,4625.2,661.5,3957.7,1695.2,36.4,2270.0,37.7,3350.7,38.9,22,7,16,22,22,2947,1239,1810,2637
NIEL,8989.6,1325.1,1193.4,1722.2,1526.8,2830.2,2308.7,946.0,835.7,1247.1,1075.5,2197.9,1724.4,9232.5,4585.4,4289.5,5556.2,5251.8,7268.9,6541.0,904.5,488.4,431.8,520.1,458.6,695.4,551.7,,,,,,1634,186,292,771
NIMP,5068.8,1456.5,686.4,1681.5,732.9,2127.3,814.5,1122.4,487.7,1337.7,532.4,1766.8,611.0,8869.9,8087.4,6899.7,8099.1,6901.3,8228.2,6907.6,1262.9,923.2,300.5,982.4,302.0,1028.6,310.0,43,43,21,25,34,4610,992,1297,1959
OKAN,11481.0,1914.7,813.3,3112.3,956.1,5717.7,994.1,1155.9,197.4,2197.7,295.4,4639.2,332.9,47666.5,43048.5,38762.5,44012.4,38765.8,44865.5,38765.8,3456.5,510.1,165.9,1149.5,236.3,2086.0,236.3,174,91,32,60,136,11664,1468,2634,5533
